ID,Forecast_1,Forecast_2,Forecast_3,Forecast_4,Dep_a,Dep_b,Dep_c,Dep_d,Dep_e,Dep_f
1,3,2,4,1,6,2,6,1,3,7
2,7,7,5,6,2,2,1,2,1,1
3,6,5,6,7,1,2,1,2,2,1
4,3,2,2,3,2,1,1,2,1,2
5,5,2,5,3,1,1,1,1,1,1
6,4,4,4,5,1,1,1,1,1,3
7,7,4,7,7,1,1,1,1,2,1
8,5,7,7,3,1,3,3,1,4,1
9,5,7,9,6,1,1,1,1,1,1
10,6,6,5,7,4,1,1,3,1,6
11,4,3,1,4,3,2,1,3,3,1
12,7,4,8,8,1,1,1,2,1,2
13,7,6,5,5,1,1,3,1,3,1
14,5,8,9,6,2,1,2,1,2,2
15,2,4,1,1,7,7,3,4,7,5
16,10,8,7,8,5,4,4,1,5,1
17,6,10,9,8,1,1,1,1,1,1
18,5,5,7,5,1,1,1,1,1,1
19,8,10,9,6,2,4,2,1,3,2
20,6,9,8,6,1,2,2,1,1,1
21,4,4,5,3,1,3,6,3,2,4
22,0,3,2,1,1,7,7,5,7,2
23,3,2,2,2,2,1,1,1,1,1
24,7,4,5,6,2,3,1,2,3,3
25,5,6,3,6,3,4,2,4,3,1
26,8,5,6,10,2,1,2,3,5,5
27,4,5,2,5,2,3,1,2,3,2
28,3,3,8,3,2,3,6,3,7,1
29,8,5,5,10,3,2,2,4,3,2
30,3,5,4,0,5,7,7,1,3,6
31,4,5,3,3,3,3,4,1,3,2
32,7,3,2,4,4,4,1,1,5,2
33,0,0,2,2,2,1,7,7,7,7
34,6,5,4,5,3,5,1,1,3,1
35,4,4,7,5,1,2,2,2,3,1
36,8,10,7,6,3,3,3,1,2,1
37,6,1,3,5,5,1,2,4,5,2
38,2,6,4,6,1,1,1,2,1,1
39,3,4,6,4,1,5,4,2,1,3
40,6,5,6,3,1,1,1,1,1,1
41,6,5,6,3,3,3,3,2,1,2
42,4,9,6,5,2,7,7,1,2,1
43,5,3,7,3,2,1,3,1,1,2
44,3,6,8,4,1,2,3,1,1,1
45,6,6,5,9,4,1,1,3,1,1
46,6,7,6,3,4,4,3,1,1,3
47,5,7,3,2,1,4,1,1,3,3
48,6,6,7,8,1,4,3,3,1,1
49,2,3,2,4,2,4,2,5,4,7
50,4,8,5,6,1,2,1,1,1,2
51,2,4,5,3,2,4,6,1,3,5
52,6,3,6,4,3,1,4,1,2,2
53,6,6,6,6,4,3,1,1,7,4
54,6,5,6,9,2,1,2,3,3,2
55,9,5,6,5,4,1,4,2,4,3
56,5,7,5,5,1,2,4,1,2,2
57,3,3,7,4,1,1,2,1,1,1
58,5,5,8,6,1,1,3,1,1,3
59,8,8,4,4,5,6,3,2,3,1
60,5,6,9,4,3,4,5,2,2,2
61,1,0,1,2,3,1,6,7,7,1
62,0,6,3,3,1,2,1,1,1,2
63,4,5,7,2,3,3,4,1,4,1
64,6,4,10,7,3,2,5,4,6,1
65,3,4,6,4,1,2,5,1,4,4
66,10,4,8,7,4,1,3,2,3,1
67,7,6,10,4,1,1,3,1,2,1
68,2,1,4,2,5,2,7,5,2,7
69,5,3,6,3,1,1,2,1,1,1
70,4,3,5,1,1,1,1,1,1,1
71,5,5,3,5,1,1,1,1,1,2
72,5,3,4,8,1,1,1,3,3,1
73,1,2,3,1,2,6,7,5,7,5
74,5,5,8,5,1,3,4,1,4,4
75,2,5,7,4,1,7,1,2,1,2
76,3,4,8,7,1,1,2,2,1,2
77,4,2,6,6,2,1,2,3,1,1
78,4,4,4,2,3,3,3,2,3,1
79,2,5,1,3,5,7,2,5,7,1
80,3,5,6,8,1,1,1,1,4,3
81,3,2,4,2,5,5,7,4,7,7
82,5,5,3,4,4,3,2,2,2,1
83,6,8,8,8,1,2,3,3,1,3
84,3,4,5,8,1,1,1,3,1,2
85,25,7,3,1,3,1,1,1,1,1
86,5,6,6,10,1,1,2,2,2,2
87,1,1,4,2,2,3,7,7,7,5
88,6,4,7,7,5,1,1,3,1,4
89,5,6,3,7,4,4,2,5,1,3
90,5,7,4,3,3,4,5,1,4,2
91,4,4,4,4,2,2,1,2,2,2
92,4,2,4,5,2,1,2,3,2,2
93,5,9,8,9,2,4,4,4,1,1
94,9,8,7,7,4,4,3,3,2,2
95,6,4,2,3,5,2,1,1,5,4
96,3,5,7,5,3,4,6,5,4,1
97,7,5,6,8,4,3,4,4,5,5
98,6,8,4,7,2,3,1,3,3,3
99,5,10,7,8,1,3,2,2,3,2
100,3,5,6,4,2,3,4,3,1,2
101,8,5,4,5,3,2,2,2,1,1
102,5,4,8,9,3,1,3,1,3,4
103,4,5,3,7,1,2,1,2,1,1
104,4,6,7,4,1,2,2,1,1,2
105,3,2,1,0,7,7,2,2,-10,7
106,7,6,5,5,3,2,1,1,1,4
107,2,3,3,1,5,7,7,3,7,5
108,3,5,4,4,5,7,7,1,1,1
109,5,7,2,3,3,4,1,2,1,3
110,9,4,4,6,2,1,1,2,1,1
111,0,5,4,4,1,5,4,3,1,5
112,4,4,5,6,3,1,1,2,1,1
113,2,4,2,2,1,3,2,2,5,5
114,3,6,5,5,1,3,5,1,2,1
115,4,6,9,6,4,1,3,2,4,4
116,10,5,5,5,4,4,1,1,4,3
117,7,5,5,9,1,1,1,1,1,2
118,5,8,8,9,3,5,4,5,1,5
119,0,3,2,4,1,5,2,6,4,1
120,4,5,0,1,2,2,1,1,3,1
121,6,6,2,4,1,1,1,2,1,1
122,4,5,2,4,2,2,1,2,1,1
123,6,5,6,6,2,1,1,1,2,1
124,8,6,5,7,5,1,3,6,2,5
125,6,6,9,9,2,2,2,2,3,2
126,3,0,3,4,6,1,5,7,1,6
127,6,8,4,4,2,2,1,1,1,2
128,3,3,2,1,5,5,4,2,1,5
129,6,6,6,4,3,3,3,2,3,3
130,5,5,3,6,1,2,1,1,2,3
131,4,4,5,7,1,2,1,1,1,1
132,5,5,7,5,1,3,1,1,1,1
133,2,5,4,3,1,1,1,4,2,4
134,3,5,3,3,1,2,1,1,1,2
135,0,3,4,2,1,7,7,5,2,7
136,1,2,4,4,2,2,6,6,3,6
137,1,1,NA,2,6,4,7,7,7,3
138,4,5,3,4,1,1,1,1,1,1
139,2,4,4,4,1,3,2,3,1,1
140,4,7,4,4,1,3,3,1,2,1
141,2,5,2,4,2,5,2,4,3,2
142,5,5,4,4,1,1,1,2,1,1
143,8,7,6,9,3,2,1,2,2,1
144,4,8,7,8,1,2,3,1,2,2
145,2,4,0,4,5,7,1,7,7,7
146,5,5,8,5,1,1,2,1,1,1
147,6,4,6,3,5,1,2,1,4,3
148,2,2,2,3,6,5,6,7,7,4
149,5,6,8,5,1,1,4,1,5,3
150,5,1,4,2,3,1,3,2,1,2
151,5,5,8,5,1,4,1,4,4,5
152,6,4,6,3,5,3,5,3,2,1
153,3,5,5,3,1,3,4,2,NA,5
154,2,1,2,3,2,1,3,4,3,1
155,3,4,6,4,1,1,5,6,2,1
156,2,4,2,4,4,7,6,7,7,5
157,9,4,8,9,1,1,1,2,3,4
158,6,6,6,3,5,2,2,1,1,4
159,1,4,1,4,1,7,1,7,7,7
160,7,4,7,7,3,2,3,3,2,4
161,6,4,4,5,2,1,1,1,1,1
162,2,1,5,3,7,5,7,7,1,3
163,4,4,2,2,7,7,5,4,7,1
164,4,5,7,5,1,1,1,1,2,1
165,5,7,6,4,1,1,2,1,1,1
166,1,3,2,5,1,6,4,7,5,7
167,7,9,8,5,5,1,4,3,1,1
168,5,3,4,7,1,1,1,1,2,3
169,1,1,1,2,2,2,1,3,1,4
170,4,3,7,8,1,1,3,3,3,1
171,6,4,4,1,1,1,3,1,2,1
172,9,5,5,7,3,1,2,4,1,2
173,9,4,8,8,2,1,2,2,1,1
174,3,6,8,5,2,1,3,3,2,1
175,1,2,3,3,NA,6,7,7,7,2
176,5,5,3,4,3,1,2,4,3,6
177,2,4,2,1,3,6,3,2,3,1
178,5,3,2,3,7,3,2,4,1,2
179,1,2,1,0,7,7,5,3,3,7
180,5,7,5,10,2,3,2,5,1,2
181,4,4,0,1,7,7,1,2,1,7
182,4,3,4,3,2,1,1,1,1,2
183,5,8,5,4,3,2,1,1,2,2
184,7,3,4,4,6,2,1,6,1,1
185,9,6,6,8,2,1,1,2,1,1
186,3,8,4,4,1,2,1,1,2,1
187,9,7,4,8,3,3,2,3,1,1
188,10,7,6,4,3,1,2,1,1,1
189,1,5,6,5,1,2,2,2,4,4
190,6,6,9,7,1,1,1,1,1,1
191,2,6,4,3,1,3,3,1,2,2
192,4,8,4,8,1,2,1,4,3,2
193,10,4,6,7,2,1,1,1,1,1
194,4,3,3,3,1,1,3,1,1,3
195,6,4,2,5,2,2,1,2,2,1
196,6,9,5,9,2,2,1,3,2,2
197,5,4,5,5,1,4,1,5,2,1
198,1,3,3,4,1,6,7,1,7,4
199,8,3,7,4,2,1,2,1,1,3
200,5,4,5,2,4,3,4,2,3,2
201,5,6,7,5,2,5,2,2,4,2
202,8,5,5,7,2,1,1,3,1,1
203,3,6,7,4,1,1,2,1,1,1
204,4,2,5,5,4,2,1,7,6,6
205,5,6,2,6,3,3,1,3,1,3
206,1,2,4,5,2,4,7,7,1,6
207,3,4,3,4,1,3,1,1,1,1
208,7,7,4,3,2,2,1,1,1,1
209,5,7,2,6,3,1,1,2,3,1
210,7,6,5,6,5,7,3,2,4,2
211,5,5,5,10,1,2,3,1,5,6
212,8,7,5,5,3,3,1,4,3,4
213,4,8,5,8,1,2,1,2,1,1
214,4,4,3,4,3,1,2,1,5,1
215,3,6,6,4,1,6,4,2,4,1
216,7,5,9,4,1,5,3,1,1,5
217,4,7,10,6,1,2,2,1,2,1
218,2,7,7,6,1,1,3,6,2,5
219,7,7,3,4,7,5,1,1,4,3
220,10,5,5,5,2,1,1,1,2,1
221,1,2,2,2,1,2,2,2,2,1
222,8,4,4,8,4,5,1,1,2,2
223,5,5,2,4,3,3,2,3,3,3
224,2,4,6,1,1,3,4,1,4,1
225,4,3,2,6,4,1,1,4,3,4
226,7,4,4,9,2,2,1,1,3,1
227,5,8,4,7,1,2,1,2,1,1
228,0,4,0,4,1,3,1,3,2,3
229,4,8,7,10,1,1,2,2,2,4
230,5,9,5,5,2,4,1,1,4,1
231,7,8,9,9,1,1,1,1,1,1
232,6,4,3,2,4,2,2,1,5,5
233,6,6,8,7,2,2,2,2,2,1
234,6,3,8,4,1,1,2,1,1,2
235,4,NA,5,6,2,1,2,3,2,1
236,8,4,8,5,2,1,1,1,1,1
237,4,4,3,4,2,4,1,1,4,1
238,5,6,5,9,1,2,3,3,3,2
239,7,6,5,10,1,2,5,6,2,1
240,1,5,4,2,1,6,4,2,4,7
241,5,10,8,8,1,4,4,4,2,3
242,6,4,3,0,3,2,1,1,3,2
243,3,4,2,3,3,4,2,4,4,2
244,5,5,6,8,1,1,1,2,1,1
245,4,4,3,2,2,1,1,1,1,3
246,2,2,1,1,5,6,4,4,6,3
247,5,8,5,8,1,2,1,1,1,1
248,6,4,7,7,3,2,4,4,1,1
249,6,2,0,3,7,3,1,4,1,5
250,8,5,6,5,2,1,1,3,2,1
